marketplace,category,title,price,price_formatted,description,seller,location,date_posted,url,scraped_at
krisha.kz,Квартиры,3-комнатная квартира · 55 м² · 2/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1004385658,2025-09-30 01:45:59
krisha.kz,Квартиры,3-комнатная квартира · 60 м² · 3/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2 16 — На против парка первого президента",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005584413,2025-09-30 01:45:59
krisha.kz,Квартиры,3-комнатная квартира · 59 м² · 1/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2, Навои — Биржана",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1003847375,2025-09-30 01:45:59
krisha.kz,Квартиры,3-комнатная квартира · 74 м² · 4/8 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1003938061,2025-09-30 01:45:59
krisha.kz,Квартиры,4-комнатная квартира · 110 м² · 7/8 этаж,4,4 ₸,"Бостандыкский р-н, мкр Орбита-2",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005261166,2025-09-30 01:45:59
krisha.kz,Квартиры,1-комнатная квартира · 39.4 м² · 4/8 этаж,1,1 ₸,"Бостандыкский р-н, мкр Орбита-2 10 — Навои-Аль-Фараби",Не указан,Алматы,Не указано,https://krisha.kz/a/show/699808377,2025-09-30 01:45:59
krisha.kz,Квартиры,2-комнатная квартира · 44 м² · 2/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 1 — Навои/Аль Фараби",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1003376280,2025-09-30 01:45:59
krisha.kz,Квартиры,3-комнатная квартира · 57.2 м² · 5/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2 37 — Навой Биржана",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005169035,2025-09-30 01:45:59
krisha.kz,Квартиры,3-комнатная квартира · 66.4 м² · 5/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2 — Мустафина",Не указан,Алматы,Не указано,https://krisha.kz/a/show/693957384,2025-09-30 01:45:59
krisha.kz,Квартиры,2-комнатная квартира · 45 м² · 4/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005775620,2025-09-30 01:45:59
krisha.kz,Квартиры,4-комнатная квартира · 76 м² · 5/5 этаж,4,4 ₸,"Бостандыкский р-н, мкр Орбита-2 23 — АльФараби-Мустафина",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1002426534,2025-09-30 01:45:59
krisha.kz,Квартиры,3-комнатная квартира · 63 м² · 5/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2 29",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005433460,2025-09-30 01:45:59
krisha.kz,Квартиры,3-комнатная квартира · 63 м² · 5/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2 — Биржана-Мустафина",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005737834,2025-09-30 01:45:59
krisha.kz,Квартиры,4-комнатная квартира · 92 м² · 7/8 этаж,4,4 ₸,"Бостандыкский р-н, мкр Орбита-2 10 — Альфараби-Навои",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005745668,2025-09-30 01:45:59
krisha.kz,Квартиры,1-комнатная квартира · 31.6 м² · 5/5 этаж,1,1 ₸,"Бостандыкский р-н, мкр Орбита-2 17 — Напротив парка первого президента",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1002435277,2025-09-30 01:45:59
krisha.kz,Квартиры,2-комнатная квартира · 45 м² · 4/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005775702,2025-09-30 01:45:59
krisha.kz,Квартиры,3-комнатная квартира · 63 м² · 5/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005797475,2025-09-30 01:45:59
krisha.kz,Квартиры,2-комнатная квартира · 43 м² · 5/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2 35 — Навои",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1000981451,2025-09-30 01:45:59
krisha.kz,Квартиры,3-комнатная квартира · 60 м² · 1/5 этаж,3,3 ₸,"Бостандыкский р-н, мкр Орбита-2 — Навои - Биржана",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005794196,2025-09-30 01:45:59
krisha.kz,Квартиры,2-комнатная квартира · 40 м² · 2/5 этаж,2,2 ₸,"Бостандыкский р-н, мкр Орбита-2, Торайгырова",Не указан,Алматы,Не указано,https://krisha.kz/a/show/1005791521,2025-09-30 01:45:59
